上海电气(601727) 财务指标
报告日期	2017-12-31	2017-09-30	2017-06-30	2017-03-31
每股指标
摊薄每股收益(元)	0.34	0.2643	0.1702	0.0598
加权每股收益(元)	0.1895	0.1398	0.1012	0.0362
每股收益_调整后(元)	0.1895	0.1398	0.1012	0.0362
扣除非经常性损益后的每股收益(元)	0.12	--	0.0858	--
每股净资产_调整前(元)	4.8028	5.0053	4.3687	4.3552
每股净资产_调整后(元)	3.7716	3.9115	3.4634	3.3988
每股经营性现金流(元)	-0.511	-0.7817	-0.5389	-0.5435
每股资本公积金(元)	1.1229	1.0868	0.7239	0.7241
每股未分配利润(元)	1.2979	1.402	1.2994	1.235
调整后的每股净资产(元)	--	--	--	--
盈利能力
总资产利润率(%)	2.5113	1.8032	1.2713	0.4552
主营业务利润率(%)	22.1215	21.5847	21.2642	22.924
总资产净利润率(%)	2.6701	1.906	1.2863	0.4562
成本费用利润率(%)	7.3857	7.6039	7.6139	7.9296
营业利润率(%)	6.7628	6.6409	6.6087	6.9775
主营业务成本率(%)	77.1899	77.8111	78.0071	76.4963
销售净利率(%)	6.2937	6.0528	6.3301	6.1589
股本报酬率(%)	129.8462	26.4299	103.982	5.9771
净资产报酬率(%)	27.0357	5.2804	23.8016	1.3724
资产报酬率(%)	9.5914	1.8032	7.7664	0.4552
销售毛利率(%)	22.8101	22.1889	21.9929	23.5037
三项费用比重	16.2282	14.3322	13.6014	16.3716
非主营比重	55.6085	38.9101	35.9363	28.8082
主营利润比重	318.2755	306.0594	302.4608	309.3662
股息发放率(%)	0.0549	0.1254	0.477	0.3422
投资收益率(%)	20.1267	9.6119	5.4206	1.5839
主营业务利润(元)	17596293000	12658870000	7679498000	2988060000
净资产收益率(%)	4.79	3.57	2.92	1.06
加权净资产收益率(%)	5.32	3.82	2.97	1.07
扣除非经常性损益后的净利润(元)	1696802000	1361923000	1152844000	451797000
成长能力
主营业务收入增长率(%)	0.5886	7.1937	-2.0398	-13.4969
净利润增长率(%)	15.5842	-1.6356	-5.9392	-9.1191
净资产增长率(%)	22.6802	16.384	9.9388	15.9707
总资产增长率(%)	13.5007	15.1682	9.4584	11.4487
营运能力
应收账款周转率(次)	2.8901	1.9742	1.2411	0.4801
应收账款周转天数(天)	124.5632	136.7643	145.0326	187.4609
存货周转天数(天)	174.0139	179.4616	171.0376	244.9646
存货周转率(次)	2.0688	1.5045	1.0524	0.3674
固定资产周转率(次)	6.0845	--	3.0816	--
总资产周转率(次)	0.4243	0.3149	0.2032	0.0741
总资产周转天数(天)	848.4563	857.4151	885.8268	1214.5749
流动资产周转率(次)	0.572	0.4187	0.2674	0.0973
流动资产周转天数(天)	629.3706	644.8531	673.1488	924.9743
股东权益周转率(次)	1.2393	0.9393	0.6209	0.2245
偿债及资本结构
流动比率	1.2968	1.3011	1.273	1.2886
速动比率	0.9871	0.9831	1.0055	1.0061
现金比率(%)	37.7647	33.0215	36.1751	40.6062
利息支付倍数	1183.7613	1303.2311	1287.8391	871.8831
长期债务与营运资金比率(%)	0.1255	0.104	0.0342	0.0397
股东权益比率(%)	35.4768	34.1488	32.6299	33.1699
长期负债比率(%)	2.0795	1.7905	0.5559	0.6762
股东权益与固定资产比率(%)	497.834	--	510.3032	--
负债与所有者权益比率(%)	181.874	192.8363	206.4675	201.4782
长期资产与长期资金比率(%)	73.4482	71.354	72.8073	70.7546
资本化比率(%)	5.5371	4.9821	1.6752	1.9978
固定资产净值率(%)	50.1624	--	49.6084	--
资本固定化比率(%)	77.7535	75.0953	74.0477	72.197
产权比率(%)	163.2672	172.591	184.2797	179.9659
清算价值比率(%)	166.4818	163.4456	161.2811	162.3551
固定资产比重(%)	7.1262	--	6.3942	--
资产负债率(%)	64.5232	65.8512	67.3701	66.8301
总资产(元)	199345759000	196863369000	179824984000	176350287000
现金流量
经营现金净流量对销售收入比率(%)	-0.0946	-0.179	-0.2004	-0.56
资产的经营现金流量回报率(%)	-0.0377	-0.0533	-0.0402	-0.0414
经营现金净流量与净利润的比率(%)	-1.5031	-2.9575	-3.1659	-9.0927
经营现金净流量对负债比率(%)	-0.0585	-0.081	-0.0597	-0.0619
现金流量比率(%)	-6.7598	-9.3321	-6.7559	-7.0135
其他指标
短期股票投资(元)	--	--	--	--
短期债券投资(元)	--	--	--	--
短期其它经营性投资(元)	--	--	--	--
长期股票投资(元)	10704961000	10303508000	9900644000	9536045000
长期债券投资(元)	--	--	--	--
长期其它经营性投资(元)	--	--	--	--
1年以内应收帐款(元)	--	--	--	--
1-2年以内应收帐款(元)	3345473000	--	4895036000	--
2-3年以内应收帐款(元)	3588221000	--	3923562000	--
3年以内应收帐款(元)	--	--	3822732000	--
1年以内预付货款(元)	--	--	--	--
1-2年以内预付货款(元)	1623687000	--	1381907000	--
2-3年以内预付货款(元)	572709000	--	355087000	--
3年以内预付货款(元)	--	--	--	--
1年以内其它应收款(元)	--	--	--	--
1-2年以内其它应收款(元)	147683000	--	204974000	--
2-3年以内其它应收款(元)	85517000	--	65242000	--
3年以内其它应收款(元)	104800000	--	90184000	--
